            START=14 END=155
            START=187 END=328
            START=360 END=501
            START=533 END=674
            START=706 END=847
            START=879 END=1020
            START=1053 END=1194
            START=1227 END=1368
            START=1400 END=1541
            START=1573 END=1714
            START=1747 END=1888
            START=1920 END=2061
            START=2094 END=2235
            START=2267 END=2408
            START=2440 END=2581
            START=2613 END=2754
            START=2786 END=2927
            START=2959 END=3100
            START=3133 END=3274
            START=3307 END=3448
            START=3480 END=3621
            START=3653 END=3794
            START=3827 END=3968
            START=4000 END=4141
